"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","LAMB & MUTTON, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","LAMB & MUTTON, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","155,400,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","155,600,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","160,700,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","161,100,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","160,800,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","153,300,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","168,300,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","175,400,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","180,100,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","188,900,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","189,800,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","191,500,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","198,600,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","203,700,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","222,200,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","228,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","236,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","247,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","252,000,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","260,000,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","269,000,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","288,000,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","310,000,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","337,000,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","349,000,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","362,000,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","362,000,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","348,000,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","335,000,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","316,000,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","337,000,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","357,000,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","380,000,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","376,000,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","365,000,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","338,000,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","318,000,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","293,000,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","309,000,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","351,000,000",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","371,000,000",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","410,000,000",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","465,000,000",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","514,000,000",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","543,000,000",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","554,000,000",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","551,000,000",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","550,000,000",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","602,000,000",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","646,000,000",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","650,000,000",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","651,000,000",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","715,000,000",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","770,000,000",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","809,000,000",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","832,000,000",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","768,000,000",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","738,000,000",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","688,000,000",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","707,000,000",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","741,000,000",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","758,000,000",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","734,000,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","729,000,000",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","648,000,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","521,000,000",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","597,000,000",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","603,000,000",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","747,000,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","799,000,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","968,000,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","1,054,000,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","1,024,000,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","1,104,000,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","1,043,000,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","924,000,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","876,000,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","898,000,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","923,000,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","878,000,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","881,000,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","906,000,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","885,000,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","885,000,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","916,000,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","910,000,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED","845,000,000",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","LAMB & MUTTON","TOTAL","NOT SPECIFIED"," (D)",""
