"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","PORK, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","PORK, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>"
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","24,956,700,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","24,516,800,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","22,858,000,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","23,202,600,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","23,268,000,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","22,775,300,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","22,455,500,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","23,020,000,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","23,366,700,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","21,962,200,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","21,073,300,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","20,705,400,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","20,531,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","19,967,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","19,685,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","19,161,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","18,953,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","19,306,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","19,011,000,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","17,275,000,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","17,116,000,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","17,848,000,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","17,697,000,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","17,087,000,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","17,233,000,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","16,000,000,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","15,353,000,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","15,811,000,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","15,684,000,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","14,374,000,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","14,063,000,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","14,805,000,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","14,812,000,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","15,202,000,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","14,229,000,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","15,875,000,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","16,615,000,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","15,450,000,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","13,393,000,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","13,247,000,000",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","12,415,000,000",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,503,000,000",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","13,805,000,000",""
"SURVEY","1973","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","12,751,000,000",""
"SURVEY","1972","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","13,617,000,000",""
"SURVEY","1971","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","14,786,000,000",""
"SURVEY","1970","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","13,427,000,000",""
"SURVEY","1969","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","12,946,000,000",""
"SURVEY","1968","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","13,055,000,000",""
"SURVEY","1967","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","12,572,000,000",""
"SURVEY","1966","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,328,000,000",""
"SURVEY","1965","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,165,000,000",""
"SURVEY","1964","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","12,523,000,000",""
"SURVEY","1963","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","12,439,000,000",""
"SURVEY","1962","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,841,000,000",""
"SURVEY","1961","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,412,000,000",""
"SURVEY","1960","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,630,000,000",""
"SURVEY","1959","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","12,110,000,000",""
"SURVEY","1958","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,454,000,000",""
"SURVEY","1957","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,482,000,000",""
"SURVEY","1956","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,218,000,000",""
"SURVEY","1955","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,991,000,000",""
"SURVEY","1954","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","9,870,000,000",""
"SURVEY","1953","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,006,000,000",""
"SURVEY","1952","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,527,000,000",""
"SURVEY","1951","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,481,000,000",""
"SURVEY","1950","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,714,000,000",""
"SURVEY","1949","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,286,000,000",""
"SURVEY","1948","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,055,000,000",""
"SURVEY","1947","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,502,000,000",""
"SURVEY","1946","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,136,000,000",""
"SURVEY","1945","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,697,000,000",""
"SURVEY","1944","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","13,304,000,000",""
"SURVEY","1943","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","13,640,000,000",""
"SURVEY","1942","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,876,000,000",""
"SURVEY","1941","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","9,528,000,000",""
"SURVEY","1940","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,044,000,000",""
"SURVEY","1939","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,431,000,000",""
"SURVEY","1938","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","9,365,000,000",""
"SURVEY","1937","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","8,637,000,000",""
"SURVEY","1936","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","9,246,000,000",""
"SURVEY","1935","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","7,583,000,000",""
"SURVEY","1934","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,286,000,000",""
"SURVEY","1933","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","11,183,000,000",""
"SURVEY","1932","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,911,000,000",""
"SURVEY","1931","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,574,000,000",""
"SURVEY","1930","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED","10,207,000,000",""
"SURVEY","1899","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","PORK","TOTAL","NOT SPECIFIED"," (D)",""
